# 		 Age[Myr] 			 Masses[Msun]			 CoreMass[Msun] 			  TruncRadii[pc]			  CoreRadii[pc] 			  FitAlpha			 FitSigma0 			  FitSigmaBg
7.739400000000000546e+01 4.344675967330552521e+04 1.035304053549444234e+03 2.779499255497114962e+00 1.550385076657132544e-01 1.988407451854176555e+00 1.572362144466192149e+04 1.008475178962795695e+02
6.746299999999996544e+01 1.677192566750080732e+04 1.422417743137497382e+03 3.711838145077163631e+01 2.912932657940616732e-01 1.910055486486395449e+00 7.056113950405893775e+03 1.343982168486379081e+00
6.501099999999996726e+01 5.223334016256144241e+04 4.843422441822617657e+03 5.433801664538671972e+00 6.173852423662359312e-01 2.248061781494689271e+00 5.333122212652297094e+03 7.968081901521883026e+01
6.977699999999998681e+01 2.681887630890412402e+04 1.908560516108540469e+03 3.814790622938630360e+00 2.715999652707470347e-01 2.333549400116103012e+00 1.097027159163511715e+04 4.597194106078584497e+01
6.039900000000000091e+01 9.416765565327888908e+03 5.491612805784008060e+02 3.299198028976571440e+00 1.068003496398159946e-01 2.229209291278210880e+00 1.819875109505642104e+04 1.736635640941740633e+01
6.788200000000000500e+01 1.489937572716784416e+04 9.992934777738112189e+02 4.064800460582469910e+00 1.624741493876076248e-01 2.238418293186093422e+00 1.608879089589342948e+04 2.384251183178134426e+01
9.497499999999996589e+01 1.646583577340787087e+04 8.912617504469127425e+02 2.522403444807127748e+00 1.575356972127707478e-01 2.365729425092042870e+00 1.302022143760223116e+04 3.678457803023041350e+01
6.850000000000000000e+01 1.298181256711544484e+04 1.116327849044618233e+03 3.833995110450055122e+09 1.854033020450766844e-01 1.896316945684488608e+00 1.193993313270511135e+04 6.554050624975062488e-16
6.859799999999995634e+01 1.001994270956972287e+04 6.571930079052995097e+02 7.091806407634273057e+00 1.191069291439856154e-01 2.013876356488421671e+00 1.800815794741085119e+04 9.596565513185238316e+00
7.021699999999998454e+01 1.468331227251405107e+04 6.391877200174830023e+02 5.193963762389117278e+00 1.041368813730142590e-01 2.048619759415943431e+00 2.717293867290038543e+04 1.805852850028692202e+01
8.907699999999999818e+01 3.502028494180328380e+03 6.661956518492074792e+02 1.637386487801452351e+00 1.529545290289571202e-01 3.317057698932761145e+00 8.722179159711169632e+03 6.703203831000367430e+00
7.103199999999998226e+01 7.805292299368364183e+03 9.722855459420868556e+02 2.549497959622523346e+00 2.007793494086377306e-01 2.861518593993095383e+00 9.520484268657597568e+03 1.321379388096057106e+01
6.501099999999996726e+01 4.959556548699588893e+04 9.812881898859948251e+02 7.849021148348264143e-01 1.918429202416027934e-01 3.480010545951754075e+00 9.139396104508059580e+03 1.347167989494051312e+02
9.384299999999996089e+01 5.635655108886540802e+03 5.221533487466762153e+02 2.605935084217616993e+00 1.632836070950645369e-01 2.530850228175540728e+00 6.083201933625055062e+03 1.096742230834432164e+01
6.330699999999995953e+01 2.361393506487223931e+04 1.584465334127845381e+03 2.407394350341837796e+00 3.657240244394526774e-01 2.737176911423752745e+00 4.085617364220097897e+03 4.674205295209064559e+01
8.147199999999997999e+01 1.101023354339960133e+04 4.771401290271348330e+02 2.094211413804256683e+00 1.254962102808413749e-01 2.447096421552262591e+00 1.264087782057481672e+04 2.576667633672022717e+01
7.624399999999997135e+01 5.446599586064474352e+03 7.202115155126572290e+02 5.690511269941412209e+00 1.658644643038440780e-01 2.324746148343320495e+00 8.667969729952703346e+03 4.671107967852456966e+00
8.618399999999996908e+01 1.985983254026185023e+04 6.391877200174832296e+02 1.123549540104961775e+00 1.856952766457709014e-01 3.073348624420014552e+00 6.956864115901413243e+03 5.482912360808452235e+01
1.152579999999999814e+02 5.887729139315965767e+03 3.961163335319612884e+02 9.614719402685141247e-01 1.261649802366829332e-01 3.626263278161302672e+00 1.207374197942797400e+04 1.528412970914659397e+01
6.172499999999996589e+01 4.213237365749083438e+03 2.340687425416135738e+02 4.145655509052595278e+00 1.160477814106850025e-01 2.139728845732443929e+00 6.982356935472146688e+03 6.636209259334894917e+00
1.141599999999999682e+02 2.232655698089240104e+03 9.002643943908215363e+01 4.239871227946228949e+00 5.351917751854051025e-02 2.177506054237448918e+00 1.862522134873502728e+04 2.731221686815977989e+00
7.103199999999998226e+01 7.211117799070436376e+03 2.250660985977052633e+02 1.548362735977925508e+00 8.031829051074264314e-02 2.414096477755634851e+00 8.236468702454796585e+03 1.300688774483997534e+01
9.607599999999996498e+01 3.556044357843777561e+03 5.941745002979417904e+02 2.625916584063687331e+00 1.870532752345370475e-01 2.939027418812300674e+00 6.285300735602449095e+03 5.335555611526438646e+00
7.003600000000000136e+01 1.171243977102442477e+04 2.430713864855215434e+02 1.032281688908714745e+00 1.780422046400105818e-01 2.744048547920088676e+00 2.136655909499026620e+03 3.410516994472126129e+01
6.039900000000000091e+01 1.253168036992004818e+04 4.501321971954104129e+01 3.850762337213166076e-01 8.728631981609658030e-02 3.156267075447466652e+00 1.874160220660991627e+03 3.430146594541223948e+01
7.045999999999997954e+01 4.465311396178507493e+03 4.861427729710432004e+02 2.445936331918730833e+00 2.099909855143393400e-01 2.772901101474915198e+00 3.857749738027374406e+03 8.517140769198658035e+00
7.021699999999998454e+01 1.411614570404785081e+04 6.661956518492079340e+02 1.118534667449662123e+00 3.060615445968978832e-01 3.894130977771680602e+00 2.331463004032845674e+03 2.979199059568279750e+01
